endTime,trackName,msPlayed,artistId
2023-09-05 16:30,Chicago Freestyle (feat. Giveon),220463,3TVXtAsR1Inumwj472S9r4
2023-09-05 16:35,Billie Jean,294180,3fMbdgg4jU18AjLCKBhRSm
2023-09-05 16:39,Glamorous,246553,3r17AfJCCUqC9Lf0OAc73G
2023-09-05 16:43,Say It Right,223059,2jw70GZXlAI8QzWeY2bgRc
2023-09-05 16:44,Life Is Good (feat. Drake),37399,1RyvyyTE3xzB2ZywiAwp0i
2023-09-05 17:56,Si Te Agarro Con Otro Te Mato,905,3lwRbCTt1qmo0QgXUai8ao
2023-09-05 18:05,Si Te Agarro Con Otro Te Mato,51362,3lwRbCTt1qmo0QgXUai8ao
2023-09-05 21:14,Maquiavélico,6335,1wGIhYkKWSq4yACtTkCkSX
2023-09-06 14:55,Something About Us (Love Theme from Interstella 5555),134933,4tZwfgrHOc3mvqYlEYSvVi
2023-09-06 14:58,No Eyes - Radio Edit,204992,4mncDFjVLUa3s025Tct3Ry
2023-09-06 15:01,You Give Me Something,199600,6J7biCazzYhU3gM9j1wfid
2023-09-06 15:05,Can't Feel My Face,213520,1Xyo4u8uXC1ZmMpatF05PJ
2023-09-06 15:08,Ferrari,186661,43BxCL6t4c73BQnIJtry5v
2023-09-06 15:12,Feel So Close - Radio Edit,206413,7CajNmpbOovFoOoasH2HaY
2023-09-06 15:14,That Girl,148583,1DKPQBaKEzmQzWG1GwJoXT
2023-09-06 15:17,Atmosphere,182857,1VJ0briNOlXRtJUAzoUJdt
2023-09-06 15:21,Before I Lose My Mind,205402,4mncDFjVLUa3s025Tct3Ry
2023-09-06 15:24,Something About You,225181,4csQIMQm6vI2A2SCVDuM2z
2023-09-06 15:28,Starboy,230453,1Xyo4u8uXC1ZmMpatF05PJ
2023-09-06 15:34,Promises (with Sam Smith),213309,7CajNmpbOovFoOoasH2HaY
2023-09-09 20:20,Pushing On,35387,38Z7dMMVB0YYbKn4fDYNz3
2023-09-09 20:23,Chulo pt.2,219333,4F4pp8NUW08JuXwnoxglpN
2023-09-09 20:25,Tempo,107906,64KEffDW9EtZ1y2vBYgq8T
2023-09-09 20:29,MI CIUDAD,220551,2qWK8K2Jfh67UqtwY8tCW6
2023-09-09 20:32,El Amor de Mi Vida,6649,0ZCO8oVkMj897cKgFH7fRW
2023-09-09 20:32,FERXXO 151,195653,2LRoIwlKmHjgvigdNGBHNo
2023-09-09 20:36,VAMPIROS,176590,7ltDVBr6mKbRvohxheJ9h1
2023-09-09 20:38,CORAZÓN VACÍO,67810,1DxLCyH42yaHKGK3cl5bvG
2023-09-09 20:38,Solita y SueltAAA,1625,2IMZYfNi21MGqxopj9fWx8
2023-09-09 20:40,La Difícil,163084,4q3ewBCX7sLwd24euuV69X
2023-09-10 15:12,All Star,200373,2iEvnFsWxR0Syqu2JNopAd
2023-09-10 15:15,Blinding Lights,200040,1Xyo4u8uXC1ZmMpatF05PJ
2023-09-10 15:18,Numb,4318,6XyY86QOPPrYVGvF9ch6wz
2023-09-10 15:18,Numb,185586,6XyY86QOPPrYVGvF9ch6wz
2023-09-10 15:18,Scar Tissue,250,0L8ExT028jH3ddEcZwqJJ5
2023-09-10 15:22,Scar Tissue,215906,0L8ExT028jH3ddEcZwqJJ5
2023-09-10 15:26,Feel Good Inc.,222640,3AA28KZvwAUcZuOKwyblJQ
2023-09-10 15:29,September,216022,4QQgXkCYTt3BlENzhyNETg
