id,name,followers,popularity,uri
4Xj0nxVO4r7PLEaw7LRiBa,melvitto,156663,64,spotify:artist:4Xj0nxVO4r7PLEaw7LRiBa
5yOvAmpIR7hVxiS6Ls5DPO,Omah Lay,3188808,76,spotify:artist:5yOvAmpIR7hVxiS6Ls5DPO
1IMENE2OCzsrXuu62aW1mD,JayO,65097,54,spotify:artist:1IMENE2OCzsrXuu62aW1mD
687cZJR45JO7jhk1LHIbgq,Tems,2263345,78,spotify:artist:687cZJR45JO7jhk1LHIbgq
6V394G6torkxVfqL39qEgK,All Artist Adella,503,11,spotify:artist:6V394G6torkxVfqL39qEgK
58lV9VcRSjABbAbfWS6skp,Bon Jovi,13755345,79,spotify:artist:58lV9VcRSjABbAbfWS6skp
6HkwRgGXuqTufwpEh2dwGK,John Klemmer,14571,30,spotify:artist:6HkwRgGXuqTufwpEh2dwGK
26OmQHradZrF0CS7DrgWDH,Lewis Thompson,9615,52,spotify:artist:26OmQHradZrF0CS7DrgWDH
06HL4z0CvFAxyc27GXpf02,Taylor Swift,120479329,100,spotify:artist:06HL4z0CvFAxyc27GXpf02
4MoCPQEZqegox8Ng6SUGrb,PM Artist Sessions Project,578,25,spotify:artist:4MoCPQEZqegox8Ng6SUGrb
5ao5cOf9lGP6pyIESuiaf1,Le Vitates,1097,33,spotify:artist:5ao5cOf9lGP6pyIESuiaf1
7zAAwgV5Wqmvpb4GzvlRkP,Jazzy,73548,67,spotify:artist:7zAAwgV5Wqmvpb4GzvlRkP
106OuakzOxxbXTuigEEf01,warner case,32727,57,spotify:artist:106OuakzOxxbXTuigEEf01
7fQllKIlkVSl9JD1aJ8XYg,HotLap,4473,47,spotify:artist:7fQllKIlkVSl9JD1aJ8XYg
3q1NXsv9XypOUCJfEatXH9,Pescado Rabioso,508630,54,spotify:artist:3q1NXsv9XypOUCJfEatXH9
3HrbmsYpKjWH1lzhad7alj,Los Auténticos Decadentes,2179561,66,spotify:artist:3HrbmsYpKjWH1lzhad7alj
1WaFQSHVGZQJTbf0BdxdNo,Tommy Richman,676525,81,spotify:artist:1WaFQSHVGZQJTbf0BdxdNo
4admDxmnri5Zco0xYrJ0ji,Jamie Jones,262261,59,spotify:artist:4admDxmnri5Zco0xYrJ0ji
6ElqtIfQsAkEYypgfJIjeK,DannyLux,1727073,72,spotify:artist:6ElqtIfQsAkEYypgfJIjeK
4O4Rkb6K3ppeXyVvD6zBJA,Song a Day,4341,19,spotify:artist:4O4Rkb6K3ppeXyVvD6zBJA
3YwqjMyrRfuixi2pbgTGCE,Heuss L'enfoiré,1676055,68,spotify:artist:3YwqjMyrRfuixi2pbgTGCE
6GI52t8N5F02MxU0g5U69P,Santana,3435339,71,spotify:artist:6GI52t8N5F02MxU0g5U69P
6L8y2rKomt32RmT4wfwZS7,Jungeli,206141,65,spotify:artist:6L8y2rKomt32RmT4wfwZS7
7awyvLSthqOcL5A3hnR1pf,Alex Gargolas,127061,64,spotify:artist:7awyvLSthqOcL5A3hnR1pf
29XOeO6KIWxGthejQqn793,Flying Lotus,786558,55,spotify:artist:29XOeO6KIWxGthejQqn793
48X3AlBcfBle0OsLFRIOrl,Caleb Arredondo,76877,57,spotify:artist:48X3AlBcfBle0OsLFRIOrl
1LZEQNv7sE11VDY3SdxQeN,Bee Gees,8082438,78,spotify:artist:1LZEQNv7sE11VDY3SdxQeN
3OsRAKCvk37zwYcnzRf5XF,Moby,1889965,69,spotify:artist:3OsRAKCvk37zwYcnzRf5XF
3k3RY7kR8f0vp8Cq27P141,berlioz,522003,67,spotify:artist:3k3RY7kR8f0vp8Cq27P141
6m1rUIqtk10YWCyR5jFW9W,Lelio Luttazzi,15166,57,spotify:artist:6m1rUIqtk10YWCyR5jFW9W
153PCxQogtNJgjnPv5rzog,Luigi Malatesta,1659,46,spotify:artist:153PCxQogtNJgjnPv5rzog
4AGwPDdh1y8hochNzHy5HC,RAC,167663,56,spotify:artist:4AGwPDdh1y8hochNzHy5HC
07UJz804RJxqNvxFXC3h9H,Sam Gellaitry,146951,53,spotify:artist:07UJz804RJxqNvxFXC3h9H
5zl0vKMseEhdyXv88He8WQ,Michel Colombier,7597,50,spotify:artist:5zl0vKMseEhdyXv88He8WQ
2WPn0emjr8XPmMOT0bBcPe,Piero Piccioni,197786,59,spotify:artist:2WPn0emjr8XPmMOT0bBcPe
5LPtVDKmhK18iKF6bjtuJ8,Brazilian Love Affair Project,2092,40,spotify:artist:5LPtVDKmhK18iKF6bjtuJ8
5ex40YPLrwqU1Yr6ApCKhr,Artista Rosario,6777,16,spotify:artist:5ex40YPLrwqU1Yr6ApCKhr
7EhUXju6pssa8o3CvFJTew,Cortex,147261,54,spotify:artist:7EhUXju6pssa8o3CvFJTew
04BNblybwoPZhAYiKPLKUQ,Ley Soul,77128,52,spotify:artist:04BNblybwoPZhAYiKPLKUQ
1gjen19mqMk6nP6TFOh7g2,Martial Solal,8596,39,spotify:artist:1gjen19mqMk6nP6TFOh7g2
2mVVjNmdjXZZDvhgQWiakk,Khruangbin,1896134,72,spotify:artist:2mVVjNmdjXZZDvhgQWiakk
4kOHVYMZUnNasTU8eKJpme,Copenhagen untd.,161,24,spotify:artist:4kOHVYMZUnNasTU8eKJpme
5qRtt9DQNy64ig66kCWFjX,Robohands,73504,55,spotify:artist:5qRtt9DQNy64ig66kCWFjX
5vBSrE1xujD2FXYRarbAXc,Olly Alexander (Years & Years),1969532,67,spotify:artist:5vBSrE1xujD2FXYRarbAXc
7BYXrz5LhCrix6A3EwPvU0,Suff Daddy,53282,50,spotify:artist:7BYXrz5LhCrix6A3EwPvU0
33W1pnW9zScZtYTnAoWnOT,Mr. Probz,337342,64,spotify:artist:33W1pnW9zScZtYTnAoWnOT
